timestamp,Warm_Up_Duration (minutes),4AM SpaceTemp,4AM OaTemp
2024-01-01,0,64.0,24.51
2024-01-02,115,64.42,16.49
2024-01-03,120,64.98,31.16
2024-01-04,80,64.65,18.08
2024-01-05,100,65.0,21.55
2024-01-06,0,65.34,32.45
2024-01-07,0,64.28,28.84
2024-01-08,0,64.04,22.69
2024-01-09,105,65.06,35.14
2024-01-10,105,64.53,29.05
2024-01-11,105,65.46,25.37
2024-01-12,105,65.32,24.46
2024-01-13,0,63.86,17.57
2024-01-14,0,63.83,-17.57
2024-01-15,0,64.13,-17.86
2024-01-16,100,64.01,-19.69
2024-01-17,70,64.18,-12.15
2024-01-18,55,63.92,-1.43
